Datum,Tages-Gesamtzeit,App/Website,Nutzungsdauer,Anteil (%)
Montag 23.03.,58min,Safari,33min,56.90%
Montag 23.03.,58min,WhatsApp,22min,37.93%
Montag 23.03.,58min,Kalender,39s,1.12%
Montag 23.03.,58min,Nachrichten,33s,0.95%
Montag 23.03.,58min,Einstellungen,16s,0.46%
Montag 23.03.,58min,google.com,6s,0.17%
Montag 23.03.,58min,Mobilfunk,4s,0.11%
Dienstag 24.03.,23min,WhatsApp,15min,65.22%
Dienstag 24.03.,23min,Kalender,3min,13.04%
Dienstag 24.03.,23min,Bitwarden,1min,4.35%
Dienstag 24.03.,23min,Trade Republic,58s,4.20%
Dienstag 24.03.,23min,AuthPoint,29s,2.10%
Dienstag 24.03.,23min,Spotify,10s,0.72%
Dienstag 24.03.,23min,Benutzerauthentifizierung,2s,0.14%
Mittwoch 25.03.,29min,WhatsApp,17min,58.62%
Mittwoch 25.03.,29min,Spotify,2min,6.90%
Mittwoch 25.03.,29min,CAS Rechner,2min,6.90%
Mittwoch 25.03.,29min,Safari,14s,0.80%
Mittwoch 25.03.,29min,Trade Republic,11s,0.63%
Mittwoch 25.03.,29min,google.com,10s,0.57%
Mittwoch 25.03.,29min,Kalender,9s,0.52%
Donnerstag 26.03.,48min,WhatsApp,23min,47.92%
Donnerstag 26.03.,48min,Spotify,8min,16.67%
Donnerstag 26.03.,48min,Safari,7min,14.58%
Donnerstag 26.03.,48min,Google Drive - Dateispeicher,5min,10.42%
Donnerstag 26.03.,48min,google.com,2min,4.17%
Donnerstag 26.03.,48min,Fddb,1min,2.08%
Donnerstag 26.03.,48min,Kalender,39s,1.35%
Freitag 27.03.,41min,WhatsApp,15min,36.59%
Freitag 27.03.,41min,Fotos,11min,26.83%
Freitag 27.03.,41min,Spotify,5min,12.20%
Freitag 27.03.,41min,AuthPoint,34s,1.38%
Freitag 27.03.,41min,Kalender,30s,1.22%
Freitag 27.03.,41min,Kontakte,20s,0.81%
Freitag 27.03.,41min,Einstellungen,17s,0.69%
Samstag 28.03.,13min,WhatsApp,8min,61.54%
Samstag 28.03.,13min,Safari,3min,23.08%
Samstag 28.03.,13min,YouTube,3min,23.08%
Samstag 28.03.,13min,google.com,19s,2.44%
Samstag 28.03.,13min,Einstellungen,11s,1.41%
Samstag 28.03.,13min,Spotify,8s,1.03%
Samstag 28.03.,13min,Mobilfunk,3s,0.38%
Sonntag 29.03.,16min,Spotify,3min,18.75%
Sonntag 29.03.,16min,WhatsApp,3min,18.75%
Sonntag 29.03.,16min,Einstellungen,2min,12.50%
Sonntag 29.03.,16min,Safari,1min,6.25%
Sonntag 29.03.,16min,google.com,56s,5.83%
Sonntag 29.03.,16min,YouTube,47s,4.90%
Sonntag 29.03.,16min,Fotos,37s,3.85%
